country,unfccc,peak_year,timeline_year,peaked_or_not,carbon_footprint
"Micronesia, Federated States of",Non-Annex I,2030 or earlier,2030,Will peak,3577.5
Moldova,Non-Annex I,1990 or earlier,1990,Peaked,395436.8
Monaco,Annex I,2020 or earlier,2020,Peaked,4041.6
Montenegro,Non-Annex I,1991,2000,Peaked,55100.6
Netherlands,Annex I,1996,2000,Peaked,5866236
New Zealand,Annex I,2020 or earlier,2020,Peaked,2064640
Norway,Annex I,1990 or earlier,1990,Peaked,1455221
Poland,Annex I,1992,2000,Peaked,11191960
Portugal,Annex I,2005,2010,Peaked,2009182
Romania,Annex I,1990 or earlier,1990,Peaked,4145794
Russian Federation,Annex I,1990 or earlier,1990,Peaked,70232093
San Marino,Non-Annex I,2030 or earlier,2030,Will peak,7719.68
Serbia,Non-Annex I,1990 or earlier,1990,Peaked,1677000
Singapore,Non-Annex I,2030 or earlier,2030,Will peak,1286500
Slovakia,Annex I,1990 or earlier,1990,Peaked,1388178
Slovenia,Annex I,1990 or earlier,1990,Peaked,520312
Spain,Annex I,2007,2010,Peaked,9548400
Sweden,Annex I,1993,2000,Peaked,1822888
Switzerland,Annex I,2000,2000,Peaked,1431514
Tajikistan,Non-Annex I,1990 or earlier,1990,Peaked,193750.9
Ukraine,Annex I,1990 or earlier,1990,Peaked,13431657
United Kingdom of Great Britain and Northern Ireland,Annex I,1991,2000,Peaked,18628479
United States of America,Annex I,2007,2010,Peaked,187674190
Afghanistan,UNFCCC Non-Annex I,Unknown,2050,Unknown,510900
Albania,UNFCCC Non-Annex I,Unknown,2050,Unknown,214030
Algeria,UNFCCC Non-Annex I,Unknown,2050,Unknown,4115000
Andorra,UNFCCC Non-Annex I,Unknown,2050,Unknown,11771.43
Antigua and Barbuda,UNFCCC Non-Annex I,Unknown,2050,Unknown,13907
Argentina,UNFCCC Non-Annex I,Unknown,2050,Unknown,9711000
Armenia,UNFCCC Non-Annex I,Unknown,2050,Unknown,311480
Bahamas,UNFCCC Non-Annex I,Unknown,2050,Unknown,65680
Bahrain,UNFCCC Non-Annex I,Unknown,2050,Unknown,627500
Bangladesh,UNFCCC Non-Annex I,Unknown,2050,Unknown,3400100
Barbados,UNFCCC Non-Annex I,Unknown,2050,Unknown,39181
Belize,UNFCCC Non-Annex I,Unknown,2050,Unknown,159280
Benin,UNFCCC Non-Annex I,Unknown,2050,Unknown,591500
Bhutan,UNFCCC Non-Annex I,Unknown,2050,Unknown,186480
Bolivia,UNFCCC Non-Annex I,Unknown,2050,Unknown,3266900
Bosnia and Herzegovina,UNFCCC Non-Annex I,Unknown,2050,Unknown,516870
Botswana,UNFCCC Non-Annex I,Unknown,2050,Unknown,679100
Brunei Darussalam,UNFCCC Non-Annex I,Unknown,2050,Unknown,347720
Burkina Faso,UNFCCC Non-Annex I,Unknown,2050,Unknown,868200
Burundi,UNFCCC Non-Annex I,Unknown,2050,Unknown,225170
Cambodia,UNFCCC Non-Annex I,Unknown,2050,Unknown,1340900
Cameroon,UNFCCC Non-Annex I,Unknown,2050,Unknown,3684000
Cape Verde,UNFCCC Non-Annex I,Unknown,2050,Unknown,12239
Central African Republic,UNFCCC Non-Annex I,Unknown,2050,Unknown,1043100
Chad,UNFCCC Non-Annex I,Unknown,2050,Unknown,1043500
Chile,UNFCCC Non-Annex I,Unknown,2050,Unknown,2016100
Colombia,UNFCCC Non-Annex I,Unknown,2050,Unknown,5414000
Comoros,UNFCCC Non-Annex I,Unknown,2050,Unknown,19040
Congo (Brazzaville),UNFCCC Non-Annex I,Unknown,2050,Unknown,459000
"Congo, Democratic Republic of the",UNFCCC Non-Annex I,Unknown,2050,Unknown,5581000
Cook Islands,UNFCCC Non-Annex I,Unknown,2050,Unknown,1437.608
Côte d'Ivoire,UNFCCC Non-Annex I,Unknown,2050,Unknown,525270
Cuba,UNFCCC Non-Annex I,Unknown,2050,Unknown,2369900
Djibouti,UNFCCC Non-Annex I,Unknown,2050,Unknown,34225
Dominica,UNFCCC Non-Annex I,Unknown,2050,Unknown,5849
Dominican Republic,UNFCCC Non-Annex I,Unknown,2050,Unknown,698100
Ecuador,UNFCCC Non-Annex I,Unknown,2050,Unknown,6244000
Egypt,UNFCCC Non-Annex I,Unknown,2050,Unknown,5739000
El Salvador,UNFCCC Non-Annex I,Unknown,2050,Unknown,315970
Equatorial Guinea,UNFCCC Non-Annex I,Unknown,2050,Unknown,278310
Eritrea,UNFCCC Non-Annex I,Unknown,2050,Unknown,150380
Ethiopia,UNFCCC Non-Annex I,Unknown,2050,Unknown,3237962.9
Fiji,UNFCCC Non-Annex I,Unknown,2050,Unknown,53660
Gabon,UNFCCC Non-Annex I,Unknown,2050,Unknown,183330
Gambia,UNFCCC Non-Annex I,Unknown,2050,Unknown,47297
Ghana,UNFCCC Non-Annex I,Unknown,2050,Unknown,1329800
Grenada,UNFCCC Non-Annex I,Unknown,2050,Unknown,8783
Guatemala,UNFCCC Non-Annex I,Unknown,2050,Unknown,973300
Guinea,UNFCCC Non-Annex I,Unknown,2050,Unknown,717800
Guinea-Bissau,UNFCCC Non-Annex I,Unknown,2050,Unknown,95630
Guyana,UNFCCC Non-Annex I,Unknown,2050,Unknown,189070
Haiti,UNFCCC Non-Annex I,Unknown,2050,Unknown,208870
Honduras,UNFCCC Non-Annex I,Unknown,2050,Unknown,1249400
India,UNFCCC Non-Annex I,Unknown,2050,Unknown,81980000
Indonesia,UNFCCC Non-Annex I,Unknown,2050,Unknown,42887000
"Iran, Islamic Republic of",UNFCCC Non-Annex I,Unknown,2050,Unknown,14807000
Iraq,UNFCCC Non-Annex I,Unknown,2050,Unknown,3145100
Israel,UNFCCC Non-Annex I,Unknown,2050,Unknown,1862400
Jamaica,UNFCCC Non-Annex I,Unknown,2050,Unknown,319270
Jordan,UNFCCC Non-Annex I,Unknown,2050,Unknown,633500
Kenya,UNFCCC Non-Annex I,Unknown,2050,Unknown,1575600
Kiribati,UNFCCC Non-Annex I,Unknown,2050,Unknown,1534.94
"Korea, Democratic People's Republic of",UNFCCC Non-Annex I,Unknown,2050,Unknown,3466100
Kuwait,UNFCCC Non-Annex I,Unknown,2050,Unknown,2619500
Kyrgyzstan,UNFCCC Non-Annex I,Unknown,2050,Unknown,438000
Lao PDR,UNFCCC Non-Annex I,Unknown,2050,Unknown,885400
Lebanon,UNFCCC Non-Annex I,Unknown,2050,Unknown,474500
Lesotho,UNFCCC Non-Annex I,Unknown,2050,Unknown,85460
Liberia,UNFCCC Non-Annex I,Unknown,2050,Unknown,459800
Libya,UNFCCC Non-Annex I,Unknown,2050,Unknown,1839300
"Macedonia, Republic of",UNFCCC Non-Annex I,Unknown,2050,Unknown,330900
Madagascar,UNFCCC Non-Annex I,Unknown,2050,Unknown,1606500
Malawi,UNFCCC Non-Annex I,Unknown,2050,Unknown,343020
Malaysia,UNFCCC Non-Annex I,Unknown,2050,Unknown,7864700
Maldives,UNFCCC Non-Annex I,Unknown,2050,Unknown,15006.98
Mali,UNFCCC Non-Annex I,Unknown,2050,Unknown,847130
Mauritania,UNFCCC Non-Annex I,Unknown,2050,Unknown,285370
Mauritius,UNFCCC Non-Annex I,Unknown,2050,Unknown,98880
Mongolia,UNFCCC Non-Annex I,Unknown,2050,Unknown,1403400
Morocco,UNFCCC Non-Annex I,Unknown,2050,Unknown,1597500
Mozambique,UNFCCC Non-Annex I,Unknown,2050,Unknown,1575300
Myanmar,UNFCCC Non-Annex I,Unknown,2050,Unknown,4793400
Namibia,UNFCCC Non-Annex I,Unknown,2050,Unknown,484800
Nauru,UNFCCC Non-Annex I,Unknown,2050,Unknown,2417.88
Nepal,UNFCCC Non-Annex I,Unknown,2050,Unknown,1376800
Nicaragua,UNFCCC Non-Annex I,Unknown,2050,Unknown,1113800
Niger,UNFCCC Non-Annex I,Unknown,2050,Unknown,622030
Nigeria,UNFCCC Non-Annex I,Unknown,2050,Unknown,9669000
Niue,UNFCCC Non-Annex I,Unknown,2050,Unknown,749.8
Oman,UNFCCC Non-Annex I,Unknown,2050,Unknown,1208600
Pakistan,UNFCCC Non-Annex I,Unknown,2050,Unknown,8228000
Palau,UNFCCC Non-Annex I,Unknown,2050,Unknown,3878.3
Panama,UNFCCC Non-Annex I,Unknown,2050,Unknown,593300
Papua New Guinea,UNFCCC Non-Annex I,Unknown,2050,Unknown,2668000
Paraguay,UNFCCC Non-Annex I,Unknown,2050,Unknown,3392700
Peru,UNFCCC Non-Annex I,Unknown,2050,Unknown,3257800
Philippines,UNFCCC Non-Annex I,Unknown,2050,Unknown,3773500
Qatar,UNFCCC Non-Annex I,Unknown,2050,Unknown,1871200
Rwanda,UNFCCC Non-Annex I,Unknown,2050,Unknown,220200
Saint Kitts and Nevis,UNFCCC Non-Annex I,Unknown,2050,Unknown,5880.8
Saint Lucia,UNFCCC Non-Annex I,Unknown,2050,Unknown,11729
Saint Vincent and Grenadines,UNFCCC Non-Annex I,Unknown,2050,Unknown,6370
Samoa,UNFCCC Non-Annex I,Unknown,2050,Unknown,9009.36
Sao Tome and Principe,UNFCCC Non-Annex I,Unknown,2050,Unknown,3236.1
Saudi Arabia,UNFCCC Non-Annex I,Unknown,2050,Unknown,11809000
Senegal,UNFCCC Non-Annex I,Unknown,2050,Unknown,691100
Seychelles,UNFCCC Non-Annex I,Unknown,2050,Unknown,15047
Sierra Leone,UNFCCC Non-Annex I,Unknown,2050,Unknown,268490
Solomon Islands,UNFCCC Non-Annex I,Unknown,2050,Unknown,52420
Somalia,UNFCCC Non-Annex I,Unknown,2050,Unknown,1092100
South Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,11738000
South Sudan,UNFCCC Non-Annex I,Unknown,2050,Unknown,888950
Sri Lanka,UNFCCC Non-Annex I,Unknown,2050,Unknown,768100
Sudan,UNFCCC Non-Annex I,Unknown,2050,Unknown,3501900
Suriname *,UNFCCC Non-Annex I,Unknown,2050,Unknown,173920
Swaziland,UNFCCC Non-Annex I,Unknown,2050,Unknown,70380
Syrian Arab Republic (Syria),UNFCCC Non-Annex I,Unknown,2050,Unknown,1884600
"Tanzania *, United Republic of",UNFCCC Non-Annex I,Unknown,2050,Unknown,4177000
Thailand,UNFCCC Non-Annex I,Unknown,2050,Unknown,8988000
Timor-Leste,UNFCCC Non-Annex I,Unknown,2050,Unknown,139070
Togo,UNFCCC Non-Annex I,Unknown,2050,Unknown,364930
Tonga,UNFCCC Non-Annex I,Unknown,2050,Unknown,5023.3
Trinidad and Tobago,UNFCCC Non-Annex I,Unknown,2050,Unknown,1332300
Tunisia,UNFCCC Non-Annex I,Unknown,2050,Unknown,806700
Turkey,UNFCCC Annex I,Unknown,2050,Unknown,8741178
Turkmenistan,UNFCCC Non-Annex I,Unknown,2050,Unknown,1590800
Tuvalu,UNFCCC Non-Annex I,Unknown,2050,Unknown,223.0682
Uganda,UNFCCC Non-Annex I,Unknown,2050,Unknown,1176300
United Arab Emirates,UNFCCC Non-Annex I,Unknown,2050,Unknown,4455900
Uruguay,UNFCCC Non-Annex I,Unknown,2050,Unknown,1032550
Uzbekistan,UNFCCC Non-Annex I,Unknown,2050,Unknown,5378800
Vanuatu,UNFCCC Non-Annex I,Unknown,2050,Unknown,13675.4
Venezuela (Bolivarian Republic of),UNFCCC Non-Annex I,Unknown,2050,Unknown,9297000
Viet Nam,UNFCCC Non-Annex I,Unknown,2050,Unknown,4878100
Yemen,UNFCCC Non-Annex I,Unknown,2050,Unknown,775300
Zambia,UNFCCC Non-Annex I,Unknown,2050,Unknown,2771400
Zimbabwe,UNFCCC Non-Annex I,Unknown,2050,Unknown,1732800
